method,task,regime,split,seed,episodes,success,success_probability,precondition_violation,belief_ece,recovery_success,damage_rate,wasted_action,intervention_cost,data_efficiency_proxy
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,1,84,0.4405,0.4264,0.0867,0.1345,0.1925,0.0641,0.0644,0.1278,0.2033
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,2,84,0.3571,0.4454,0.0855,0.1279,0.195,0.0656,0.057,0.1278,0.1856
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,3,84,0.381,0.4344,0.0844,0.1211,0.1879,0.0642,0.0609,0.1278,0.1905
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,4,84,0.4048,0.4483,0.0863,0.119,0.2044,0.0733,0.0672,0.1278,0.1685
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,5,84,0.4881,0.4371,0.0905,0.1287,0.2015,0.0757,0.0663,0.1278,0.2048
deterministic_symbolic_tamp,tool_levering,nominal,combined_stress,6,84,0.3929,0.4428,0.0854,0.1254,0.1813,0.0693,0.0726,0.1278,0.1849
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,0,84,0.5476,0.4704,0.1631,0.1133,0.2017,0.0686,0.1046,0.1116,0.224
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,1,84,0.4286,0.4471,0.1643,0.1118,0.1881,0.0639,0.103,0.1116,0.2272
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,2,84,0.4405,0.4487,0.1632,0.1077,0.1972,0.0636,0.1117,0.1116,0.2114
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,3,84,0.3452,0.4417,0.1648,0.1126,0.2167,0.0619,0.1047,0.1116,0.2265
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,4,84,0.4881,0.4747,0.1608,0.1122,0.2206,0.0672,0.1053,0.1116,0.2277
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,5,84,0.4881,0.4557,0.1526,0.1154,0.1909,0.07,0.1005,0.1116,0.2342
deterministic_symbolic_tamp,tool_levering,hidden_friction,nominal,6,84,0.4643,0.4517,0.1673,0.1102,0.2062,0.0658,0.1009,0.1116,0.2286
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,0,84,0.3452,0.4144,0.1902,0.139,0.1918,0.081,0.1088,0.1221,0.2108
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,1,84,0.3571,0.3978,0.1823,0.1382,0.2067,0.0832,0.1109,0.1221,0.2046
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,2,84,0.3452,0.4191,0.1886,0.1431,0.1881,0.0753,0.1146,0.1221,0.2188
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,3,84,0.369,0.4017,0.1858,0.1392,0.165,0.0803,0.1196,0.1221,0.2163
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,4,84,0.4405,0.4118,0.1934,0.1426,0.1763,0.0801,0.1099,0.1221,0.2101
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,5,84,0.3571,0.4175,0.1926,0.1383,0.1938,0.0687,0.1282,0.1221,0.2063
deterministic_symbolic_tamp,tool_levering,hidden_friction,seen_shift,6,84,0.4048,0.409,0.1891,0.1479,0.2106,0.0802,0.1186,0.1221,0.2148
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,0,84,0.3929,0.3673,0.2085,0.1592,0.2026,0.0871,0.1325,0.1276,0.1978
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,1,84,0.369,0.3724,0.2089,0.1567,0.1967,0.0865,0.1234,0.1276,0.2102
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,2,84,0.2857,0.3814,0.2072,0.1583,0.1835,0.082,0.1277,0.1276,0.1965
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,3,84,0.3929,0.3807,0.2095,0.1566,0.1957,0.0861,0.1263,0.1276,0.2025
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,4,84,0.4048,0.3812,0.2011,0.1632,0.1957,0.0798,0.1294,0.1276,0.1974
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,5,84,0.4167,0.3804,0.202,0.1589,0.1831,0.0823,0.1306,0.1276,0.2124
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_object,6,84,0.3929,0.3714,0.2043,0.1648,0.1759,0.0899,0.1254,0.1276,0.1961
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,0,84,0.381,0.355,0.2264,0.1733,0.2076,0.0873,0.1274,0.1319,0.2074
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,1,84,0.3095,0.3541,0.2233,0.1778,0.202,0.0895,0.1329,0.1319,0.2034
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,2,84,0.3452,0.3455,0.2283,0.1797,0.1985,0.0922,0.1219,0.1319,0.2161
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,3,84,0.2738,0.3587,0.2278,0.1723,0.1933,0.089,0.1331,0.1319,0.1986
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,4,84,0.4524,0.3481,0.2356,0.1694,0.1713,0.0903,0.1321,0.1319,0.197
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,5,84,0.3929,0.3482,0.2274,0.1801,0.1698,0.084,0.128,0.1319,0.2
deterministic_symbolic_tamp,tool_levering,hidden_friction,unseen_contact,6,84,0.3214,0.3568,0.2348,0.1754,0.1947,0.0896,0.1324,0.1319,0.1885
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,0,84,0.2381,0.3058,0.2611,0.2077,0.1809,0.1061,0.1599,0.1415,0.1898
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,1,84,0.2857,0.3094,0.2478,0.207,0.1947,0.1064,0.1494,0.1415,0.1824
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,2,84,0.3333,0.3204,0.2482,0.2184,0.2073,0.0986,0.1428,0.1415,0.1828
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,3,84,0.2024,0.3065,0.2481,0.2118,0.188,0.1011,0.1482,0.1415,0.2015
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,4,84,0.2381,0.2965,0.2627,0.2143,0.1845,0.1009,0.1518,0.1415,0.2009
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,5,84,0.3214,0.2969,0.2512,0.2118,0.2153,0.1002,0.1474,0.1415,0.1942
deterministic_symbolic_tamp,tool_levering,hidden_friction,combined_stress,6,84,0.4048,0.3188,0.2642,0.2111,0.1894,0.1073,0.1424,0.1415,0.1757
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,0,84,0.5119,0.4525,0.1457,0.1231,0.2069,0.0646,0.1002,0.1121,0.2213
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,1,84,0.4881,0.46,0.1542,0.1203,0.1847,0.0671,0.1104,0.1121,0.2181
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,2,84,0.381,0.4536,0.1364,0.1172,0.1947,0.0671,0.114,0.1121,0.2161
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,3,84,0.4167,0.4649,0.1499,0.1244,0.1723,0.0678,0.1171,0.1121,0.2103
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,4,84,0.3333,0.4577,0.1435,0.11,0.1935,0.0644,0.1094,0.1121,0.2099
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,5,84,0.4643,0.4728,0.1548,0.1184,0.2008,0.065,0.1095,0.1121,0.2191
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,nominal,6,84,0.4405,0.4691,0.1487,0.1194,0.1919,0.0647,0.1054,0.1121,0.2318
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,0,84,0.4048,0.3939,0.1773,0.1467,0.2015,0.0802,0.1307,0.1227,0.2148
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,1,84,0.5,0.4226,0.1625,0.1463,0.1821,0.0736,0.1273,0.1227,0.2115
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,2,84,0.3929,0.4184,0.1717,0.1408,0.179,0.0793,0.1236,0.1227,0.2085
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,3,84,0.4286,0.4214,0.1627,0.1437,0.1816,0.0819,0.1325,0.1227,0.2046
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,4,84,0.4881,0.4113,0.1759,0.1492,0.2039,0.0689,0.1282,0.1227,0.1989
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,5,84,0.3452,0.4216,0.1658,0.1443,0.1715,0.08,0.1232,0.1227,0.2091
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,seen_shift,6,84,0.4524,0.404,0.1635,0.1428,0.204,0.0732,0.1173,0.1227,0.2085
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,0,84,0.3929,0.3767,0.1924,0.1653,0.1575,0.0912,0.1431,0.1283,0.2121
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,1,84,0.2976,0.3821,0.1876,0.1691,0.19,0.092,0.1467,0.1283,0.1997
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,2,84,0.381,0.3685,0.1864,0.1604,0.1828,0.0851,0.1311,0.1283,0.2096
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,3,84,0.3929,0.3751,0.1911,0.1674,0.1754,0.0886,0.1377,0.1283,0.1974
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,4,84,0.3571,0.3845,0.198,0.1628,0.1775,0.0913,0.1363,0.1283,0.2079
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,5,84,0.3452,0.3814,0.1904,0.1622,0.1926,0.0862,0.1424,0.1283,0.1965
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_object,6,84,0.4643,0.388,0.1945,0.1689,0.1856,0.0874,0.1542,0.1283,0.2048
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,0,84,0.3452,0.3611,0.204,0.1828,0.1991,0.0878,0.1492,0.1327,0.1949
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,1,84,0.381,0.3655,0.1986,0.1797,0.1776,0.093,0.1529,0.1327,0.1897
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,2,84,0.4524,0.3593,0.1977,0.1804,0.2003,0.095,0.1332,0.1327,0.1991
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,3,84,0.4524,0.3737,0.1964,0.1812,0.2026,0.0909,0.1377,0.1327,0.2098
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,4,84,0.3214,0.3732,0.2074,0.1788,0.1855,0.0924,0.1454,0.1327,0.2044
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,5,84,0.4762,0.3697,0.2024,0.1886,0.1912,0.0966,0.1393,0.1327,0.1951
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,unseen_contact,6,84,0.2976,0.3695,0.1973,0.1807,0.195,0.0908,0.1374,0.1327,0.1863
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,0,84,0.2976,0.3228,0.2286,0.2202,0.1762,0.1029,0.16,0.1425,0.1885
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,1,84,0.2024,0.3279,0.2278,0.2218,0.1901,0.1038,0.1514,0.1425,0.1785
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,2,84,0.3333,0.3163,0.2235,0.2135,0.1836,0.1118,0.1588,0.1425,0.1877
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,3,84,0.25,0.3222,0.2221,0.2162,0.1986,0.1047,0.1652,0.1425,0.1879
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,4,84,0.3095,0.3199,0.2204,0.2171,0.185,0.1018,0.1787,0.1425,0.1881
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,5,84,0.2976,0.3214,0.2183,0.2122,0.1839,0.1087,0.1669,0.1425,0.1761
deterministic_symbolic_tamp,tool_levering,pose_ambiguity,combined_stress,6,84,0.2976,0.3217,0.2281,0.2189,0.19,0.0987,0.158,0.1425,0.1763
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,0,84,0.5119,0.454,0.1542,0.1161,0.1997,0.0754,0.1202,0.1127,0.213
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,1,84,0.4048,0.4491,0.1685,0.1203,0.1738,0.076,0.1257,0.1127,0.2188
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,2,84,0.5119,0.4481,0.169,0.1169,0.1911,0.0766,0.1223,0.1127,0.2186
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,3,84,0.369,0.4319,0.178,0.1152,0.1962,0.0711,0.1201,0.1127,0.2297
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,4,84,0.4048,0.4323,0.1666,0.1213,0.1878,0.0672,0.1123,0.1127,0.2289
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,5,84,0.4762,0.4574,0.1719,0.1146,0.2049,0.07,0.1243,0.1127,0.2324
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,nominal,6,84,0.5119,0.454,0.1664,0.1208,0.1854,0.0704,0.1144,0.1127,0.2102
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,0,84,0.4524,0.3923,0.1991,0.1524,0.1942,0.0893,0.1402,0.1234,0.2017
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,1,84,0.4286,0.3993,0.1884,0.1438,0.2016,0.0864,0.1325,0.1234,0.2118
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,2,84,0.369,0.3858,0.1955,0.1592,0.1808,0.0897,0.1343,0.1234,0.2069
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,3,84,0.4167,0.399,0.1894,0.1515,0.1769,0.086,0.146,0.1234,0.2167
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,4,84,0.3214,0.3811,0.2021,0.1541,0.1919,0.0843,0.1385,0.1234,0.1994
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,5,84,0.3929,0.3923,0.1986,0.1536,0.1937,0.088,0.1481,0.1234,0.2132
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,seen_shift,6,84,0.369,0.394,0.1959,0.1518,0.199,0.0892,0.1438,0.1234,0.1995
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,0,84,0.2738,0.3547,0.2215,0.1648,0.1922,0.1037,0.1542,0.129,0.2003
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,1,84,0.381,0.3518,0.23,0.1657,0.1853,0.1002,0.1489,0.129,0.1998
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,2,84,0.2976,0.349,0.222,0.1631,0.2018,0.1014,0.1636,0.129,0.1979
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,3,84,0.3214,0.3636,0.2237,0.1691,0.1943,0.1007,0.156,0.129,0.1974
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,4,84,0.3929,0.3516,0.2208,0.1695,0.1784,0.1037,0.155,0.129,0.2017
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,5,84,0.3214,0.3505,0.2265,0.173,0.2067,0.0937,0.1547,0.129,0.204
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_object,6,84,0.4167,0.3586,0.2287,0.1631,0.2026,0.1021,0.1583,0.129,0.2025
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,0,84,0.3214,0.3273,0.232,0.198,0.1911,0.1024,0.16,0.1335,0.1917
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,1,84,0.3214,0.3358,0.218,0.186,0.185,0.0957,0.1583,0.1335,0.1963
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,2,84,0.3571,0.3444,0.2284,0.1905,0.1889,0.1027,0.1524,0.1335,0.191
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,3,84,0.3333,0.3256,0.2297,0.1854,0.2015,0.1043,0.1543,0.1335,0.1908
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,4,84,0.3333,0.3384,0.2377,0.1935,0.1727,0.1063,0.1593,0.1335,0.1948
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,5,84,0.3452,0.3296,0.2254,0.1901,0.1816,0.1081,0.1596,0.1335,0.2005
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,unseen_contact,6,84,0.3452,0.3373,0.2296,0.1867,0.1914,0.1119,0.1571,0.1335,0.2032
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,0,84,0.2857,0.2875,0.2632,0.2203,0.1887,0.1198,0.1857,0.1434,0.188
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,1,84,0.2738,0.2858,0.2623,0.2218,0.1898,0.1154,0.1855,0.1434,0.193
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,2,84,0.3095,0.2788,0.2673,0.2226,0.2019,0.1163,0.1917,0.1434,0.1845
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,3,84,0.3095,0.2924,0.2599,0.2227,0.178,0.1195,0.1837,0.1434,0.1866
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,4,84,0.25,0.2819,0.2611,0.2275,0.1926,0.1215,0.1875,0.1434,0.196
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,5,84,0.2381,0.2783,0.2731,0.2248,0.1793,0.1296,0.1903,0.1434,0.1781
deterministic_symbolic_tamp,tool_levering,compliance_ambiguity,combined_stress,6,84,0.2857,0.2777,0.2548,0.2213,0.1904,0.1232,0.1756,0.1434,0.2003
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,0,84,0.4286,0.4373,0.1868,0.1187,0.1989,0.0833,0.1399,0.1129,0.2118
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,1,84,0.4048,0.4296,0.1927,0.1252,0.1806,0.0749,0.1312,0.1129,0.215
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,2,84,0.5595,0.4461,0.1886,0.1193,0.1939,0.0833,0.1306,0.1129,0.2212
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,3,84,0.4167,0.4241,0.1822,0.1258,0.1923,0.0771,0.1414,0.1129,0.2224
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,4,84,0.4048,0.4326,0.1822,0.1202,0.1849,0.0721,0.1332,0.1129,0.2192
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,5,84,0.4881,0.4302,0.1883,0.1301,0.1939,0.0723,0.132,0.1129,0.2231
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,nominal,6,84,0.4048,0.4235,0.1903,0.1243,0.1999,0.0746,0.1369,0.1129,0.2295
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,0,84,0.4286,0.3825,0.2111,0.1532,0.1909,0.1009,0.1531,0.1237,0.214
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,1,84,0.3452,0.3661,0.2211,0.1553,0.1972,0.093,0.1481,0.1237,0.2189
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,2,84,0.3929,0.3709,0.2131,0.151,0.2131,0.0974,0.1472,0.1237,0.2021
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,3,84,0.3571,0.3694,0.2147,0.1504,0.1933,0.0957,0.1468,0.1237,0.2158
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,4,84,0.381,0.3704,0.2131,0.1557,0.1736,0.0942,0.148,0.1237,0.1926
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,5,84,0.4048,0.3695,0.2146,0.1482,0.1775,0.095,0.154,0.1237,0.2028
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,seen_shift,6,84,0.3571,0.363,0.2238,0.1476,0.2078,0.1013,0.1427,0.1237,0.2119
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,0,84,0.2857,0.3262,0.2497,0.1712,0.1907,0.1029,0.1714,0.1294,0.2136
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,1,84,0.3214,0.3361,0.2484,0.1705,0.1828,0.1074,0.1712,0.1294,0.2223
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,2,84,0.3333,0.3266,0.2464,0.1809,0.1914,0.1055,0.1727,0.1294,0.1985
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,3,84,0.2857,0.3257,0.2565,0.1751,0.2086,0.1064,0.177,0.1294,0.2012
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,4,84,0.2857,0.3377,0.2524,0.1723,0.1915,0.115,0.1811,0.1294,0.1999
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,5,84,0.2857,0.3283,0.2458,0.1731,0.188,0.1032,0.1672,0.1294,0.2065
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_object,6,84,0.2619,0.3409,0.2522,0.1673,0.1839,0.1104,0.162,0.1294,0.1926
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,0,84,0.2976,0.3243,0.2505,0.1899,0.1921,0.1243,0.1666,0.1339,0.1966
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,1,84,0.3095,0.3209,0.2594,0.1903,0.1845,0.1156,0.1645,0.1339,0.1959
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,2,84,0.3095,0.3327,0.2549,0.1897,0.2116,0.1119,0.1759,0.1339,0.1943
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,3,84,0.2738,0.3182,0.2565,0.1878,0.2008,0.1137,0.1712,0.1339,0.2055
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,4,84,0.2738,0.334,0.2499,0.1882,0.1812,0.1092,0.1663,0.1339,0.2043
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,5,84,0.2738,0.3216,0.2528,0.198,0.1797,0.1146,0.1753,0.1339,0.1996
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,unseen_contact,6,84,0.3333,0.3098,0.253,0.1913,0.184,0.1214,0.1828,0.1339,0.1954
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,0,84,0.2143,0.2674,0.2917,0.2263,0.1791,0.1308,0.2024,0.1438,0.1751
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,1,84,0.3214,0.2648,0.2911,0.2265,0.1899,0.1381,0.2006,0.1438,0.1852
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,2,84,0.3929,0.2682,0.2914,0.2237,0.1956,0.1312,0.1974,0.1438,0.1952
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,3,84,0.2381,0.2583,0.2916,0.2272,0.1663,0.1332,0.2053,0.1438,0.1827
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,4,84,0.2738,0.2646,0.2931,0.2279,0.1756,0.1388,0.1934,0.1438,0.181
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,5,84,0.25,0.2691,0.2889,0.2237,0.1823,0.1368,0.1937,0.1438,0.1863
deterministic_symbolic_tamp,tool_levering,jamming_ambiguity,combined_stress,6,84,0.2738,0.2587,0.2847,0.2239,0.1966,0.133,0.1987,0.1438,0.1976
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,0,84,0.4405,0.4426,0.1501,0.1152,0.1981,0.0686,0.1297,0.1124,0.2376
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,1,84,0.381,0.4358,0.1474,0.1181,0.1508,0.0711,0.1388,0.1124,0.2156
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,2,84,0.4286,0.4355,0.1514,0.1242,0.2054,0.0729,0.1394,0.1124,0.2171
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,3,84,0.5238,0.4292,0.1615,0.1183,0.1979,0.0775,0.137,0.1124,0.2155
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,4,84,0.4643,0.4382,0.1532,0.1148,0.1974,0.0682,0.1382,0.1124,0.2319
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,5,84,0.4405,0.4381,0.1457,0.1196,0.1897,0.0693,0.1362,0.1124,0.2236
deterministic_symbolic_tamp,tool_levering,release_uncertainty,nominal,6,84,0.4286,0.4303,0.1458,0.1163,0.2057,0.0761,0.1398,0.1124,0.2297
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,0,84,0.381,0.3739,0.1693,0.145,0.1943,0.0931,0.1609,0.123,0.2143
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,1,84,0.381,0.3865,0.1686,0.1425,0.1971,0.0949,0.1605,0.123,0.2064
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,2,84,0.369,0.3794,0.1731,0.1402,0.1878,0.0929,0.1559,0.123,0.2093
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,3,84,0.381,0.3834,0.1723,0.1426,0.1769,0.1024,0.1611,0.123,0.2069
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,4,84,0.4167,0.3788,0.1732,0.1507,0.1998,0.0924,0.1658,0.123,0.2078
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,5,84,0.4048,0.3828,0.1703,0.1513,0.1862,0.0943,0.1646,0.123,0.2049
deterministic_symbolic_tamp,tool_levering,release_uncertainty,seen_shift,6,84,0.3929,0.379,0.1642,0.1419,0.1811,0.0956,0.1485,0.123,0.2138
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,0,84,0.2857,0.3403,0.1996,0.1636,0.1782,0.0963,0.1732,0.1287,0.1821
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,1,84,0.25,0.3574,0.1872,0.1591,0.1881,0.1013,0.175,0.1287,0.2061
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,2,84,0.3333,0.3558,0.1905,0.1662,0.1925,0.109,0.1733,0.1287,0.2114
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,3,84,0.2857,0.3413,0.1911,0.1734,0.181,0.1023,0.1768,0.1287,0.1917
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,4,84,0.4524,0.3522,0.1882,0.1631,0.1851,0.1044,0.1777,0.1287,0.2077
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,5,84,0.3571,0.3511,0.1868,0.1697,0.1903,0.1045,0.1861,0.1287,0.1939
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_object,6,84,0.3452,0.3482,0.1891,0.1709,0.1807,0.0985,0.1771,0.1287,0.2115
deterministic_symbolic_tamp,tool_levering,release_uncertainty,unseen_contact,0,84,0.3214,0.3228,0.2006,0.1866,0.1792,0.1148,0.1782,0.1331,0.2024
